"성별(1)","특성별(1)",특성별(2),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"남자","거주지역(표준화)별",읍면,594,87.5,1.2,527,85.2,1.6,483,84.0,2.1,453,84.5,1.9,437,86.1,2.2,475,84.4,2.0,505,82.3,2.5,511,82.9,3.1,506,82.8,3.0,566,84.9,2.1,547,81.7,3.0,562,78.0,2.3,520,74.2,3.5
"남자","소득수준(표준화)별",하,518,84.2,1.5,508,84.0,2.0,444,82.3,2.4,444,81.7,2.1,419,81.8,1.9,462,79.7,1.8,522,80.7,2.3,538,79.1,2.2,540,83.0,2.0,553,81.8,2.0,518,75.4,2.2,500,76.5,2.5,453,75.7,2.3
"남자","소득수준(표준화)별",중하,528,87.6,1.3,503,85.6,1.8,452,87.6,1.9,448,84.4,2.2,435,86.6,1.7,460,83.3,2.0,518,85.9,1.6,536,86.4,1.5,541,86.4,1.8,542,85.2,1.8,525,86.3,1.6,493,82.5,2.2,457,84.0,1.9
"남자","소득수준(표준화)별",중,567,88.6,1.4,501,91.6,1.2,448,85.6,1.9,447,85.9,1.8,431,82.2,2.0,469,89.7,1.4,507,89.0,1.2,545,86.9,1.5,550,83.2,1.9,539,88.3,1.7,523,84.2,2.0,486,84.8,2.1,460,86.1,2.1
"남자","소득수준(표준화)별",중상,509,91.8,1.2,501,88.5,1.3,462,84.8,2.1,444,87.1,1.8,433,88.1,1.9,470,89.7,1.5,515,89.7,1.3,547,86.9,1.9,538,87.1,1.6,548,89.3,1.6,525,89.1,1.5,496,85.8,1.9,462,87.9,1.8
"남자","소득수준(표준화)별",상,531,89.3,1.5,517,92.0,1.4,476,89.1,2.0,462,90.2,1.6,434,92.1,1.3,479,90.5,1.4,522,90.7,1.4,549,91.2,1.3,538,91.8,1.3,552,88.7,1.6,532,90.3,1.1,497,87.2,1.8,454,90.1,1.6
"여자","전체",19세이상,3516,67.8,1.1,3456,67.7,1.2,3282,66.0,1.1,3086,65.0,1.0,3045,67.2,1.2,3058,67.1,1.1,3424,67.1,1.1,3401,69.5,1.0,3471,68.3,1.0,3449,66.2,1.1,3231,65.3,1.2,3153,63.5,1.1,2969,65.8,1.1
"여자","전체",19세이상(표준화),3516,70.5,1.1,3456,71.1,1.0,3282,69.2,1.0,3086,68.8,0.8,3045,70.6,1.1,3058,70.9,1.0,3424,71.6,0.9,3401,75.0,0.9,3471,73.6,0.9,3449,72.0,1.0,3231,71.4,1.1,3153,70.7,1.0,2969,73.3,0.9
"여자","연령별1",19-29세,455,81.0,2.3,388,87.6,1.8,384,86.5,2.0,389,83.5,2.1,355,86.2,2.4,347,83.5,2.5,391,85.5,2.2,380,90.7,1.6,403,85.4,2.0,361,87.3,2.3,400,85.7,2.0,348,88.9,1.8,337,88.0,2.0
"여자","연령별1",30-39세,720,79.5,1.9,650,79.1,1.8,571,72.5,2.5,552,79.5,2.0,526,76.4,2.3,446,74.1,2.1,621,77.5,1.8,499,81.5,1.9,493,81.7,2.0,492,78.8,2.3,428,79.6,2.4,362,78.1,2.6,370,81.6,2.2
