식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
채소류,"김치,깍두기",0.89,0.12,0,0,0.05,0.42,0.8,1.23,1.7,1.79,2.19,43
채소류,"김치,배추김치",1.09,0.05,0.02,0.1,0.17,0.42,0.89,1.54,2.22,2.81,3.59,305
채소류,"김치,열무김치",0.57,0.1,0,0,0.01,0.01,0.4,0.82,1.29,1.75,2.69,29
채소류,깻잎,0.05,0.01,0,0,0,0,0.02,0.06,0.11,0.16,0.5,85
채소류,당근,0.24,0.03,0,0.01,0.02,0.04,0.13,0.28,0.51,0.8,1.46,317
채소류,마늘,0.09,0.01,0,0,0.01,0.02,0.04,0.09,0.2,0.32,0.8,432
채소류,무,0.56,0.13,0,0.01,0.01,0.05,0.24,0.64,1.31,2.29,4.92,133
채소류,단무지,0.51,0.04,0.01,0.04,0.11,0.2,0.37,0.68,1.17,1.57,1.75,92
채소류,미나리,0.28,0.09,0.01,0.01,0.02,0.04,0.08,0.26,0.67,1.17,1.45,23
채소류,배추,0.45,0.06,0,0,0.01,0.03,0.2,0.71,1.3,1.65,2.2,88
채소류,부추,0.15,0.03,0,0,0,0.01,0.03,0.08,0.42,0.78,1.44,146
채소류,브로콜리,0.08,0.02,0,0,0,0.01,0.04,0.07,0.22,0.41,0.59,36
채소류,상추,0.48,0.09,0,0,0.02,0.06,0.34,0.58,1.13,1.59,2.53,68
채소류,생강,0.02,0,0,0,0,0,0,0.01,0.03,0.05,0.18,127
채소류,숙주나물,0.43,0.07,0.01,0.01,0.01,0.03,0.21,0.65,1.08,1.49,1.8,33
채소류,시금치,0.78,0.55,0,0,0.01,0.02,0.07,0.34,0.94,1.1,12.65,64
채소류,새싹채소,0.04,0.03,0,0,0,0,0,0.01,0.02,0.05,0.73,30
채소류,쑥갓,0.03,0,0,0,0,0.01,0.03,0.04,0.08,0.08,0.1,31
채소류,양배추,0.34,0.03,0,0.01,0.02,0.08,0.23,0.43,0.74,1.18,2.06,175
채소류,양상추,0.59,0.06,0.11,0.17,0.23,0.31,0.44,0.68,1.14,1.54,1.67,36
채소류,양파,0.56,0.03,0,0.04,0.06,0.17,0.38,0.76,1.22,1.61,3.04,408
채소류,오이,0.39,0.07,0,0,0.02,0.06,0.11,0.4,0.92,1.54,3.25,129
채소류,"오이,피클",0.24,0.04,0.01,0.02,0.02,0.04,0.13,0.38,0.54,0.7,0.94,52
채소류,우엉,0.16,0.05,0,0.01,0.01,0.05,0.07,0.12,0.45,0.7,0.83,35
채소류,치커리,0.04,0,0,0,0.01,0.01,0.01,0.03,0.11,0.13,0.22,21
채소류,콩나물,0.39,0.05,0,0,0.01,0.06,0.21,0.58,1.04,1.21,1.84,110
채소류,토마토,1.94,0.33,0,0,0.02,0.1,0.4,2.17,5.67,8.8,10.4,83
채소류,파,0.22,0.02,0,0.01,0.02,0.06,0.12,0.26,0.49,0.72,1.55,405
채소류,파프리카,0.12,0.04,0,0,0,0,0.01,0.02,0.19,0.83,1.15,48
채소류,피망,0.11,0.02,0,0,0,0.02,0.04,0.13,0.3,0.39,0.74,101
채소류,애호박,0.28,0.04,0,0.01,0.01,0.04,0.15,0.3,0.55,0.79,2.74,151
채소류,채소국물,0.63,0.07,0.02,0.03,0.07,0.12,0.48,1.02,1.51,1.64,2.01,45
버섯류,느타리버섯,0.36,0.07,0,0,0.01,0.02,0.07,0.32,1.2,1.71,2.79,101
버섯류,"목이버섯,말린것",0.01,0,0,0,0,0,0.01,0.01,0.02,0.05,0.08,23
버섯류,양송이버섯,0.24,0.04,0,0,0,0.05,0.19,0.29,0.45,0.66,1,39
버섯류,팽이버섯,0.07,0.01,0,0,0.01,0.01,0.02,0.07,0.21,0.33,0.59,91
버섯류,표고버섯,0.1,0.02,0,0,0.01,0.01,0.03,0.13,0.26,0.4,0.68,72
과실류,귤,1.8,0.17,0,0.29,0.68,0.94,1.55,2.16,3.37,3.8,4.15,28
과실류,딸기,2.14,0.24,0,0.04,0.46,1.36,1.88,2.68,3.79,4.18,4.91,21
과실류,바나나,1.62,0.19,0,0,0.01,0.86,1.24,1.94,2.97,4.17,6.29,35
과실류,배,0.91,0.16,0,0,0,0.01,0.14,0.36,1.85,7.9,9.14,36
과실류,복숭아,1.23,0.66,0,0,0.01,0.01,0.02,1.16,2.64,5.25,9.97,27
과실류,사과,1.31,0.21,0,0.01,0.01,0.03,0.12,2.19,4.44,4.9,6.82,92
과실류,올리브,0.13,0.01,0,0.01,0.02,0.05,0.13,0.15,0.22,0.31,0.39,28
과실류,키위,0.09,0.02,0,0,0.01,0.02,0.03,0.07,0.1,0.54,0.8,45
과실류,파인애플,0.42,0.1,0,0,0.01,0.02,0.03,0.34,1.76,2,2.14,22
해조류,김,0.03,0,0,0,0,0.01,0.02,0.03,0.07,0.08,0.18,78
해조류,"미역,말린것",0.06,0.01,0,0,0,0,0.03,0.1,0.15,0.25,0.26,33
해조류,다시마국물,1.2,0.22,0.01,0.04,0.08,0.23,0.42,1.26,3.07,3.76,9.21,84
해조류,조미김,0.04,0,0,0,0,0.01,0.03,0.06,0.08,0.11,0.18,86
음료류,과일음료,4.9,0.26,0.95,1.25,1.55,2.23,5.47,6.38,8.04,8.33,10.78,21
