식품군,식품,평균(g),표준오차(g),p1(g),p5(g),p10(g),p25(g),p50(g),p75(g),p90(g),p95(g),p99(g),n
곡류,만두,123.93,36.92,0.5,4.46,7.69,16.24,57.37,155.33,183.36,549.96,775.29,41
곡류,"밥,볶음밥/덮밥",189,32.57,86.4,87.55,103.43,103.67,130.86,210.22,261.19,385.39,557.08,23
감자류,감자,67.8,9.1,0.7,1.89,3.56,8.61,32.85,73.18,163.67,316.84,509.02,202
감자류,감자튀김,63.63,6.98,13.5,13.5,14.21,22.15,44.82,96.3,106.96,144.39,183.36,40
감자류,고구마,76.31,11.03,0.54,0.67,0.89,3.94,19.38,84.54,197.26,301.92,535.65,63
감자류,전분,16.54,1.96,0.07,0.11,0.26,3.13,10.42,25.83,38.82,44.37,71.84,69
당류,꿀,3.45,1.19,0.03,0.03,0.03,0.12,0.53,2.55,8.39,15.05,29.8,37
당류,당밀/시럽,23.85,3.23,2.74,7.16,8.07,13.07,18.03,28.19,36.85,52.1,90.57,57
당류,물엿/조청,6.25,0.48,0.04,0.14,0.21,0.9,2.74,8.1,16.62,23.16,38.54,326
당류,설탕,4.3,0.36,0,0.07,0.17,0.65,2.23,4.77,9.18,14.13,35.63,448
당류,젤리,40.97,5.16,3.5,4.34,8.89,13.04,27.53,44.73,97.69,101.62,134.86,23
당류,초콜릿,21.03,1.93,1.4,1.4,3.48,7.84,15.79,31.59,37.87,48.54,57.25,36
당류,"매실,농축액",2.77,0.97,0.01,0.03,0.05,0.21,0.69,2.03,3.69,7.73,48.9,119
두류,대두,6.87,1.21,0.07,0.27,0.35,1.87,3.56,7.82,12.59,19.29,44.08,89
두류,두부,37.92,4.64,0.15,0.89,1.23,6.58,21.54,44.99,86.76,116.21,278.13,216
두류,순두부,120.58,11.09,0.87,1.58,3.92,37.24,115.89,181.14,211.64,268.94,298.3,20
두류,유부,7.62,2.09,0.13,0.23,0.27,0.86,2.69,7.07,11.79,24.49,81.3,42
두류,두유,230.26,7.1,184,184.12,184.49,185.61,187.46,195.26,340.77,473.35,569.17,22
두류,완두콩,3.97,0.48,0.05,0.05,0.12,0.52,1.13,5.25,7.98,10.04,27.42,45
종실류,들깨,1.3,0.43,0.01,0.05,0.1,0.18,0.37,0.92,2.35,5.38,13.95,55
종실류,땅콩,3.6,1.23,0.04,0.09,0.1,0.29,0.55,2.03,7.04,11.5,38.44,49
종실류,밤,7.67,2.96,0,0,0,0,1.7,2.44,17.5,39.03,75.45,24
종실류,아몬드,5.78,1.3,0.04,0.1,0.15,0.34,2.19,8.91,10.73,11.97,37.84,29
종실류,"깨,흰깨",0.97,0.07,0.01,0.03,0.06,0.14,0.39,0.96,2.79,4.62,7.15,423
종실류,호두,4.68,2.01,0.02,0.06,0.12,0.25,1.3,5.02,5.49,9.51,43.12,25
종실류,깨소금,0.31,0.05,0,0,0.01,0.06,0.12,0.42,0.77,1.31,1.54,50
채소류,고사리,42.04,1.37,0.15,0.94,1,7.39,27.1,39.59,49.3,113.02,263.36,29
채소류,풋고추,3.73,0.49,0.01,0.04,0.08,0.28,1.09,3.05,8.34,15.8,43.37,309
채소류,붉은고추,1.03,0.4,0.01,0.02,0.02,0.05,0.12,0.29,1.76,4.94,14.6,106
채소류,"김치,깍두기",47.17,4.82,0.06,0.11,0.17,4.68,25.98,64.28,105.64,136.63,214.03,83
채소류,"김치,배추김치",71.22,4,1.49,4.59,9.58,24.17,52.15,85.96,156.65,189.11,308.11,417
채소류,"김치,열무김치",15.4,3.29,0.08,0.1,0.32,0.69,1.72,9.89,54.07,60.53,65.71,43
채소류,"김치,총각김치",43.38,6.75,0.12,0.12,0.43,0.91,3.95,75.35,137.27,144.63,150.53,34
채소류,"김치,파김치",18.46,2.08,0.05,0.05,0.06,0.1,5.5,24.86,44.49,51.25,56.65,25
채소류,깻잎,2.78,0.34,0.11,0.17,0.23,0.48,1.42,2.85,8.22,9.91,15.43,119
채소류,당근,15.4,0.93,0.15,0.54,1.15,3.37,9.86,20.3,33.3,47.3,87.41,425
채소류,마늘,4.84,0.33,0.02,0.21,0.52,1.26,2.57,5.57,10.08,15.61,35.49,569
채소류,무청,30.31,4.57,0.09,0.29,1.55,7.37,16.2,38.77,69.97,78.32,118.9,22
채소류,무,32.6,2.92,0.11,0.72,1.09,3.46,14.26,48.03,86.83,128.72,193.52,214
채소류,단무지,35.34,3.27,2.25,7.04,8.38,13,25.34,44.94,79.56,98.39,173.06,148
채소류,미나리,8.04,1.66,0.04,0.18,0.69,1.83,3.62,6.63,21.58,36.62,38.64,43
채소류,양배추,29.01,2.61,0.36,0.61,1.67,6.66,18.51,35.81,61.76,99.87,165.34,204
채소류,배추,26.86,4.52,0.09,0.43,1.39,4.83,14.93,30.69,53.9,82.55,163.39,102
채소류,부추,10.61,2.8,0.03,0.07,0.28,0.68,1.9,4.83,18.77,50.88,161.41,191
채소류,브로콜리,10.96,2.82,0.08,0.09,0.13,2.01,3.29,8.75,25.58,34.31,94.41,44
채소류,상추,34.93,3.9,0.18,0.47,0.68,6.41,24.53,47.16,86.98,110.44,155.8,102
채소류,생강,0.98,0.12,0,0.01,0.03,0.08,0.3,1.14,2.36,3.26,10.41,186
채소류,숙주나물,27.21,2.49,1.25,1.25,1.51,4.53,14.3,30.51,65.05,90.26,132.89,28
